XMX,Throughput(%),Latency(Max GC pause time)(s),Application runtime,FULL GC,GC,RandomForest,KNeighbors,DecisionTree,MLP,Ensemble
15100,4.17056985149803,5.080106,331.174,132,266,96.25,78.99159663865547,91.17647058823529,36.134453781512605,90.33613445378151
15200,12.246070678640038,5.098896,111.915,61,225,93.04347826086956,71.9298245614035,87.71929824561403,20.46783625730994,87.71929824561403
15300,11.570562081093655,5.112598,120.552,64,289,92.95774647887323,71.56398104265402,91.4691943127962,21.80094786729858,87.67772511848341
15400,4.472824700096851,5.115406,311.934,125,280,95.06172839506173,80.65843621399176,91.35802469135803,31.275720164609055,88.88888888888889
15500,3.664466940988192,5.277699999999999,388.109,146,277,98.23529411764706,79.05138339920948,93.2806324110672,35.96837944664031,89.72332015810277
15600,5.61724424512326,5.263895000000001,255.088,104,261,98.63013698630137,77.1689497716895,91.32420091324201,30.59360730593607,88.58447488584474
15700,5.5199402414432654,5.238646,257.369,106,259,92.46575342465754,73.0593607305936,92.23744292237443,31.506849315068493,92.23744292237443
15800,5.279036472327931,5.270144,269.821,110,269,97.36842105263158,79.73568281938326,92.95154185022027,31.718061674008812,92.95154185022027
15900,3.2334467662670505,5.380785,447.254,164,300,96.23655913978494,79.85611510791367,92.80575539568345,38.84892086330935,92.80575539568345
16000,3.4959307010475555,5.334042,409.53,150,314,94.6236559139785,80.93525179856115,93.16546762589928,34.172661870503596,92.80575539568345
16100,10.495393718244117,5.329096,137.573,69,271,95.58823529411765,70.09803921568627,91.66666666666666,23.03921568627451,86.76470588235294
16200,6.513639912448923,5.5906,221.585,93,255,97.14285714285714,77.40384615384616,93.26923076923077,27.884615384615387,92.78846153846155
16300,5.410781173539732,5.434469,269.748,107,258,97.26027397260275,76.71232876712328,88.58447488584474,31.963470319634702,88.58447488584474
16400,3.820881574380593,5.490158,386.082,140,257,96.85534591194968,75.21008403361344,92.85714285714286,36.554621848739494,91.59663865546219
16500,7.927632317692002,5.476415,185.236,81,272,96.47887323943662,67.29857819905213,90.99526066350711,25.59241706161137,90.99526066350711
16600,4.760295061941079,5.493194000000001,319.255,119,291,96.95121951219512,76.01626016260163,92.27642276422763,30.081300813008134,85.36585365853658
16700,17.589351028627277,5.623093,84.919,53,281,93.28358208955224,74.0,92.0,14.499999999999998,92.5
16800,16.27131284040594,5.711273,102.084,54,230,96.49122807017544,64.11764705882354,90.0,22.35294117647059,82.35294117647058
16900,9.673608672417744,5.734982,183.386,78,272,95.0,78.57142857142857,92.38095238095238,24.761904761904763,86.66666666666667
17000,17.072635565501812,5.672314999999999,87.135,53,272,96.92307692307692,74.87179487179488,87.6923076923077,18.974358974358974,84.1025641025641
17100,18.014959363359296,5.677431,82.684,52,241,95.76271186440678,68.57142857142857,91.42857142857143,15.428571428571427,86.28571428571429
17200,16.867860491071397,5.659783999999999,89.6,53,293,94.24460431654677,73.42995169082126,88.88888888888889,17.391304347826086,88.40579710144928
17300,17.7385535578387,5.683989,84.096,52,257,96.7741935483871,65.4054054054054,92.97297297297298,15.675675675675677,91.35135135135135
17400,7.839921100654791,5.838763,223.576,86,234,96.09375,66.14583333333334,91.14583333333334,25.520833333333332,83.33333333333334
17500,13.28531484876595,5.886884,136.907,65,281,95.68345323741008,68.59903381642512,91.30434782608695,19.32367149758454,90.33816425120773
17600,8.081215675289172,6.342147,271.306,98,301,93.75,76.56903765690377,94.97907949790795,24.686192468619247,93.30543933054393
17700,4.31485286076294,5.892626,469.997,152,271,93.52941176470588,77.07509881422925,88.53754940711462,34.78260869565217,88.93280632411067
